as_of,index_name,code
2023-06-30,zz500,688099
2023-06-30,zz500,688105
2023-06-30,zz500,688107
2023-06-30,zz500,688116
2023-06-30,zz500,688169
2023-06-30,zz500,688185
2023-06-30,zz500,688188
2023-06-30,zz500,688200
2023-06-30,zz500,688208
2023-06-30,zz500,688220
2023-06-30,zz500,688234
2023-06-30,zz500,688248
2023-06-30,zz500,688256
2023-06-30,zz500,688276
2023-06-30,zz500,688281
2023-06-30,zz500,688289
2023-06-30,zz500,688295
2023-06-30,zz500,688301
2023-06-30,zz500,688385
2023-06-30,zz500,688390
2023-06-30,zz500,688516
2023-06-30,zz500,688520
2023-06-30,zz500,688521
2023-06-30,zz500,688536
2023-06-30,zz500,688538
2023-06-30,zz500,688567
2023-06-30,zz500,688690
2023-06-30,zz500,688772
2023-06-30,zz500,688777
2023-06-30,zz500,688778
2023-06-30,zz500,688779
2023-06-30,zz500,688819
2023-06-30,zz500,689009
2023-06-30,zz500,000009
2023-06-30,zz500,000012
2023-06-30,zz500,000021
2023-06-30,zz500,000027
2023-06-30,zz500,000031
2023-06-30,zz500,000039
2023-06-30,zz500,000050
2023-06-30,zz500,000060
2023-06-30,zz500,000066
2023-06-30,zz500,000089
2023-06-30,zz500,000155
2023-06-30,zz500,000156
2023-06-30,zz500,000400
2023-06-30,zz500,000401
2023-06-30,zz500,000402
2023-06-30,zz500,000415
2023-06-30,zz500,000423
2023-06-30,zz500,000513
2023-06-30,zz500,000519
2023-06-30,zz500,000537
2023-06-30,zz500,000547
2023-06-30,zz500,000553
2023-06-30,zz500,000559
2023-06-30,zz500,000563
2023-06-30,zz500,000581
2023-06-30,zz500,000591
2023-06-30,zz500,000598
2023-06-30,zz500,000623
2023-06-30,zz500,000629
2023-06-30,zz500,000630
2023-06-30,zz500,000636
2023-06-30,zz500,000683
2023-06-30,zz500,000703
2023-06-30,zz500,000709
2023-06-30,zz500,000728
2023-06-30,zz500,000729
2023-06-30,zz500,000738
2023-06-30,zz500,000739
2023-06-30,zz500,000750
2023-06-30,zz500,000778
2023-06-30,zz500,000783
2023-06-30,zz500,000785
2023-06-30,zz500,000807
2023-06-30,zz500,000825
2023-06-30,zz500,000830
2023-06-30,zz500,000831
2023-06-30,zz500,000869
2023-06-30,zz500,000878
2023-06-30,zz500,000883
2023-06-30,zz500,000887
2023-06-30,zz500,000893
2023-06-30,zz500,000898
2023-06-30,zz500,000930
2023-06-30,zz500,000932
2023-06-30,zz500,000933
2023-06-30,zz500,000937
2023-06-30,zz500,000958
2023-06-30,zz500,000959
2023-06-30,zz500,000960
2023-06-30,zz500,000967
2023-06-30,zz500,000970
2023-06-30,zz500,000975
2023-06-30,zz500,000987
2023-06-30,zz500,000988
2023-06-30,zz500,000997
2023-06-30,zz500,000998
2023-06-30,zz500,001203
2023-06-30,zz500,001227
2023-06-30,zz500,001872
2023-06-30,zz500,001914
2023-06-30,zz500,002008
2023-06-30,zz500,002010
2023-06-30,zz500,002019
2023-06-30,zz500,002025
